年	月	年齢層	状態	数
2022	9	65-69歳	歩行中	4
2022	9	65-69歳	その他	0
2022	9	70-74歳	自動車乗車中	11
2022	9	70-74歳	自動二輪車乗車中	0
2022	9	70-74歳	原付乗車中	1
2022	9	70-74歳	自転車乗用中	5
2022	9	70-74歳	歩行中	5
2022	9	70-74歳	その他	0
2022	9	75-79歳	自動車乗車中	11
2022	9	75-79歳	自動二輪車乗車中	0
2022	9	75-79歳	原付乗車中	2
2022	9	75-79歳	自転車乗用中	4
2022	9	75-79歳	歩行中	9
2022	9	75-79歳	その他	0
2022	9	80-84歳	自動車乗車中	12
2022	9	80-84歳	自動二輪車乗車中	2
2022	9	80-84歳	原付乗車中	2
2022	9	80-84歳	自転車乗用中	4
2022	9	80-84歳	歩行中	15
2022	9	80-84歳	その他	0
2022	9	85歳以上	自動車乗車中	11
2022	9	85歳以上	自動二輪車乗車中	0
2022	9	85歳以上	原付乗車中	0
2022	9	85歳以上	自転車乗用中	7
2022	9	85歳以上	歩行中	13
2022	9	85歳以上	その他	0
2022	8	9歳以下	自動車乗車中	1
2022	8	9歳以下	自動二輪車乗車中	0
2022	8	9歳以下	原付乗車中	0
2022	8	9歳以下	自転車乗用中	0
2022	8	9歳以下	歩行中	3
2022	8	9歳以下	その他	1
2022	8	10-19歳	自動車乗車中	4
2022	8	10-19歳	自動二輪車乗車中	4
2022	8	10-19歳	原付乗車中	1
2022	8	10-19歳	自転車乗用中	0
2022	8	10-19歳	歩行中	0
2022	8	10-19歳	その他	0
2022	8	20-29歳	自動車乗車中	6
2022	8	20-29歳	自動二輪車乗車中	4
2022	8	20-29歳	原付乗車中	0
2022	8	20-29歳	自転車乗用中	0
2022	8	20-29歳	歩行中	2
2022	8	20-29歳	その他	0
2022	8	30-39歳	自動車乗車中	6
2022	8	30-39歳	自動二輪車乗車中	4
2022	8	30-39歳	原付乗車中	1
2022	8	30-39歳	自転車乗用中	2
2022	8	30-39歳	歩行中	3
2022	8	30-39歳	その他	0
2022	8	40-49歳	自動車乗車中	6
2022	8	40-49歳	自動二輪車乗車中	4
2022	8	40-49歳	原付乗車中	0
2022	8	40-49歳	自転車乗用中	3
2022	8	40-49歳	歩行中	3
2022	8	40-49歳	その他	0
2022	8	50-59歳	自動車乗車中	12
2022	8	50-59歳	自動二輪車乗車中	8
2022	8	50-59歳	原付乗車中	1
2022	8	50-59歳	自転車乗用中	4
2022	8	50-59歳	歩行中	4
2022	8	50-59歳	その他	0
2022	8	60-64歳	自動車乗車中	10
2022	8	60-64歳	自動二輪車乗車中	3
2022	8	60-64歳	原付乗車中	0
2022	8	60-64歳	自転車乗用中	1
2022	8	60-64歳	歩行中	8
2022	8	60-64歳	その他	0
2022	8	65-69歳	自動車乗車中	5
2022	8	65-69歳	自動二輪車乗車中	0
2022	8	65-69歳	原付乗車中	0
2022	8	65-69歳	自転車乗用中	1
2022	8	65-69歳	歩行中	5
2022	8	65-69歳	その他	0
2022	8	70-74歳	自動車乗車中	5
2022	8	70-74歳	自動二輪車乗車中	2
2022	8	70-74歳	原付乗車中	1
2022	8	70-74歳	自転車乗用中	6
2022	8	70-74歳	歩行中	9
2022	8	70-74歳	その他	1
2022	8	75-79歳	自動車乗車中	9
2022	8	75-79歳	自動二輪車乗車中	0
2022	8	75-79歳	原付乗車中	1
2022	8	75-79歳	自転車乗用中	5
2022	8	75-79歳	歩行中	10
2022	8	75-79歳	その他	0
2022	8	80-84歳	自動車乗車中	9
2022	8	80-84歳	自動二輪車乗車中	0
2022	8	80-84歳	原付乗車中	5
2022	8	80-84歳	自転車乗用中	4
2022	8	80-84歳	歩行中	18
2022	8	80-84歳	その他	1
2022	8	85歳以上	自動車乗車中	3
2022	8	85歳以上	自動二輪車乗車中	0
2022	8	85歳以上	原付乗車中	0
2022	8	85歳以上	自転車乗用中	2
2022	8	85歳以上	歩行中	19
2022	8	85歳以上	その他	0
2022	7	9歳以下	自動車乗車中	0
2022	7	9歳以下	自動二輪車乗車中	0
2022	7	9歳以下	原付乗車中	0
2022	7	9歳以下	自転車乗用中	0
2022	7	9歳以下	歩行中	0
2022	7	9歳以下	その他	0
2022	7	10-19歳	自動車乗車中	4
2022	7	10-19歳	自動二輪車乗車中	2
2022	7	10-19歳	原付乗車中	0
2022	7	10-19歳	自転車乗用中	2
2022	7	10-19歳	歩行中	0
2022	7	10-19歳	その他	0
2022	7	20-29歳	自動車乗車中	3
2022	7	20-29歳	自動二輪車乗車中	9
2022	7	20-29歳	原付乗車中	0
2022	7	20-29歳	自転車乗用中	2
2022	7	20-29歳	歩行中	7
2022	7	20-29歳	その他	0
2022	7	30-39歳	自動車乗車中	5
2022	7	30-39歳	自動二輪車乗車中	2
2022	7	30-39歳	原付乗車中	0
2022	7	30-39歳	自転車乗用中	0
2022	7	30-39歳	歩行中	3
2022	7	30-39歳	その他	0
2022	7	40-49歳	自動車乗車中	6
2022	7	40-49歳	自動二輪車乗車中	8
2022	7	40-49歳	原付乗車中	0
2022	7	40-49歳	自転車乗用中	0
2022	7	40-49歳	歩行中	9
2022	7	40-49歳	その他	0
2022	7	50-59歳	自動車乗車中	10
2022	7	50-59歳	自動二輪車乗車中	9
2022	7	50-59歳	原付乗車中	3
2022	7	50-59歳	自転車乗用中	5
2022	7	50-59歳	歩行中	4
2022	7	50-59歳	その他	0
2022	7	60-64歳	自動車乗車中	4
2022	7	60-64歳	自動二輪車乗車中	3
2022	7	60-64歳	原付乗車中	2
2022	7	60-64歳	自転車乗用中	1
2022	7	60-64歳	歩行中	3
2022	7	60-64歳	その他	0
2022	7	65-69歳	自動車乗車中	7
2022	7	65-69歳	自動二輪車乗車中	0
2022	7	65-69歳	原付乗車中	0
2022	7	65-69歳	自転車乗用中	2
2022	7	65-69歳	歩行中	2
2022	7	65-69歳	その他	0
2022	7	70-74歳	自動車乗車中	8
2022	7	70-74歳	自動二輪車乗車中	2
2022	7	70-74歳	原付乗車中	0
2022	7	70-74歳	自転車乗用中	3
2022	7	70-74歳	歩行中	7
2022	7	70-74歳	その他	0
2022	7	75-79歳	自動車乗車中	5
2022	7	75-79歳	自動二輪車乗車中	0
2022	7	75-79歳	原付乗車中	0
2022	7	75-79歳	自転車乗用中	7
2022	7	75-79歳	歩行中	6
2022	7	75-79歳	その他	0
2022	7	80-84歳	自動車乗車中	12
2022	7	80-84歳	自動二輪車乗車中	0
2022	7	80-84歳	原付乗車中	2
2022	7	80-84歳	自転車乗用中	4
2022	7	80-84歳	歩行中	12
2022	7	80-84歳	その他	0
2022	7	85歳以上	自動車乗車中	6
2022	7	85歳以上	自動二輪車乗車中	0
2022	7	85歳以上	原付乗車中	0
2022	7	85歳以上	自転車乗用中	5
2022	7	85歳以上	歩行中	11
2022	7	85歳以上	その他	0
2022	6	9歳以下	自動車乗車中	1
2022	6	9歳以下	自動二輪車乗車中	0
2022	6	9歳以下	原付乗車中	0
2022	6	9歳以下	自転車乗用中	1
2022	6	9歳以下	歩行中	0
2022	6	9歳以下	その他	0
2022	6	10-19歳	自動車乗車中	5
2022	6	10-19歳	自動二輪車乗車中	3
2022	6	10-19歳	原付乗車中	0
2022	6	10-19歳	自転車乗用中	1
2022	6	10-19歳	歩行中	0
2022	6	10-19歳	その他	0
2022	6	20-29歳	自動車乗車中	2
2022	6	20-29歳	自動二輪車乗車中	12
2022	6	20-29歳	原付乗車中	1
2022	6	20-29歳	自転車乗用中	4
2022	6	20-29歳	歩行中	5
2022	6	20-29歳	その他	0
2022	6	30-39歳	自動車乗車中	8
2022	6	30-39歳	自動二輪車乗車中	3
2022	6	30-39歳	原付乗車中	0
2022	6	30-39歳	自転車乗用中	3
2022	6	30-39歳	歩行中	2
2022	6	30-39歳	その他	0
2022	6	40-49歳	自動車乗車中	6
2022	6	40-49歳	自動二輪車乗車中	4
2022	6	40-49歳	原付乗車中	0
2022	6	40-49歳	自転車乗用中	0
2022	6	40-49歳	歩行中	1
2022	6	40-49歳	その他	0
2022	6	50-59歳	自動車乗車中	5
2022	6	50-59歳	自動二輪車乗車中	6
2022	6	50-59歳	原付乗車中	1
2022	6	50-59歳	自転車乗用中	1
2022	6	50-59歳	歩行中	4
2022	6	50-59歳	その他	0
2022	6	60-64歳	自動車乗車中	2
2022	6	60-64歳	自動二輪車乗車中	1
2022	6	60-64歳	原付乗車中	2
2022	6	60-64歳	自転車乗用中	0
2022	6	60-64歳	歩行中	8
2022	6	60-64歳	その他	0
2022	6	65-69歳	自動車乗車中	3
2022	6	65-69歳	自動二輪車乗車中	0
2022	6	65-69歳	原付乗車中	0
2022	6	65-69歳	自転車乗用中	3
2022	6	65-69歳	歩行中	4
2022	6	65-69歳	その他	0
2022	6	70-74歳	自動車乗車中	9
2022	6	70-74歳	自動二輪車乗車中	1
2022	6	70-74歳	原付乗車中	0
2022	6	70-74歳	自転車乗用中	3
2022	6	70-74歳	歩行中	7
2022	6	70-74歳	その他	0
2022	6	75-79歳	自動車乗車中	3
2022	6	75-79歳	自動二輪車乗車中	0
2022	6	75-79歳	原付乗車中	0
2022	6	75-79歳	自転車乗用中	7
2022	6	75-79歳	歩行中	12
2022	6	75-79歳	その他	0
2022	6	80-84歳	自動車乗車中	8
2022	6	80-84歳	自動二輪車乗車中	0
2022	6	80-84歳	原付乗車中	2
2022	6	80-84歳	自転車乗用中	3
2022	6	80-84歳	歩行中	7
2022	6	80-84歳	その他	0
2022	6	85歳以上	自動車乗車中	7
2022	6	85歳以上	自動二輪車乗車中	0
2022	6	85歳以上	原付乗車中	0
2022	6	85歳以上	自転車乗用中	4
2022	6	85歳以上	歩行中	15
2022	6	85歳以上	その他	1
2022	5	9歳以下	自動車乗車中	0
2022	5	9歳以下	自動二輪車乗車中	0
2022	5	9歳以下	原付乗車中	0
2022	5	9歳以下	自転車乗用中	1
2022	5	9歳以下	歩行中	1
2022	5	9歳以下	その他	0
2022	5	10-19歳	自動車乗車中	3
2022	5	10-19歳	自動二輪車乗車中	5
2022	5	10-19歳	原付乗車中	1
2022	5	10-19歳	自転車乗用中	1
2022	5	10-19歳	歩行中	0
2022	5	10-19歳	その他	0
2022	5	20-29歳	自動車乗車中	7
2022	5	20-29歳	自動二輪車乗車中	7
2022	5	20-29歳	原付乗車中	0
2022	5	20-29歳	自転車乗用中	0
2022	5	20-29歳	歩行中	3
2022	5	20-29歳	その他	0
2022	5	30-39歳	自動車乗車中	2
2022	5	30-39歳	自動二輪車乗車中	1
2022	5	30-39歳	原付乗車中	0
2022	5	30-39歳	自転車乗用中	2
2022	5	30-39歳	歩行中	3
2022	5	30-39歳	その他	0
2022	5	40-49歳	自動車乗車中	9
2022	5	40-49歳	自動二輪車乗車中	8
2022	5	40-49歳	原付乗車中	1
2022	5	40-49歳	自転車乗用中	0
2022	5	40-49歳	歩行中	3
2022	5	40-49歳	その他	0
2022	5	50-59歳	自動車乗車中	9
2022	5	50-59歳	自動二輪車乗車中	10
2022	5	50-59歳	原付乗車中	0
2022	5	50-59歳	自転車乗用中	2
2022	5	50-59歳	歩行中	0
2022	5	50-59歳	その他	0
2022	5	60-64歳	自動車乗車中	8
2022	5	60-64歳	自動二輪車乗車中	1
2022	5	60-64歳	原付乗車中	1
2022	5	60-64歳	自転車乗用中	1
2022	5	60-64歳	歩行中	5
2022	5	60-64歳	その他	0
2022	5	65-69歳	自動車乗車中	7
2022	5	65-69歳	自動二輪車乗車中	3
2022	5	65-69歳	原付乗車中	0
2022	5	65-69歳	自転車乗用中	6
2022	5	65-69歳	歩行中	2
2022	5	65-69歳	その他	0
2022	5	70-74歳	自動車乗車中	11
